TeamNumber,GameNumber,PlayerNumber,PlayerName,HomeTeam,IP,BB,W,L,IBB
526,11,274,Stars Subs,0,7.0,2,1,0,0
531,6,542,Raptors Subs,1,7.0,0,1,0,0
532,14,540,Lightning Strikes Subs,1,7.0,1,0,1,1
533,14,636,Unknown,1,6.0,0,1,0,0
534,17,493,Buckeyes Subs,0,7.0,1,0,1,0
535,6,626,Unknown,1,7.0,1,1,0,0
535,7,626,Unknown,1,7.0,1,0,1,0
535,10,548,Shorebirds Subs,0,7.0,0,1,0,0
535,13,638,Unknown,1,7.0,2,0,1,1
535,14,638,Unknown,1,7.0,2,1,0,0
