SortKey,TeamNumber,PlayerNumber,Opponent,G,PA,AB,R,H,S,D,T,HR,TB,OE,FC,BB,HP,CO,SO,SH,SF,DP,SB,CS,RBI,BA,OBP,SLG,PP,RC,TA,SBA,User1,User2,User3,User4,User5,UserS1,UserS2,UserS3,UserS4,UserS5,CHS,LHS,PlayerName,TeamName
1,99997,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,99998,0,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000","na",".000",".000","0","0","0","0","0","0","0",".000","0","0","na","na","TOTALS",
