ReportNumber,ReportDescription,SortCategory,SortDirection
1,"Default Report",25,"D"
2,"Batting Stat Table",25,"D"
3,"Doubles",7,"D"
4,"Triples",8,"D"
5,"Home Runs",9,"D"
6,"Batting Average",25,"D"
7,"XB Hits",42,"D"
8,"Runs",4,"D"
9,"RBI",22,"D"
10,"OPS",43,"D"
11,"RAF",44,"D"
12,"Hits",5,"D"
13,"OBP",24,"D"
14,"Slugging",23,"D"
15,"Sac Flies",18,"D"
16,"CHS",30,"D"
