SortKey,Batter,B_AB,B_R,B_H,B_HR,B_BB,B_SO,B_RBI,Separator,Pitcher,P_IP,P_R,P_ER,P_H,P_HR,P_BB,P_SO,B_PA,B_2B,B_3B,B_TB,B_OE,B_FC,B_HP,B_SH,B_SF,B_DP,B_SB,B_CS,B_OBP,B_Slg,B_BA,P_BF,P_AB,P_2B,P_3B,P_HB,P_WP,P_Bk,P_PO,P_B,P_S,P_TP,P_OBP,P_Slg,P_BA,P_ERA
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Xtreme","0","0","0","0","0","0","0"," ","Xtreme","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-"
