PlayerNumber,SH1,SH2,SH3,SH4,Stat1,Stat2,Stat3,Stat4
514,,,,,,,,
440,,,,,,,,
170,,,,,,,,
466,,,,,,,,
530,,,,,,,,
396,,,,,,,,
281,,,,,,,,
504,,,,,,,,
331,,,,,,,,
513,,,,,,,,
554,,,,,,,,
529,,,,,,,,
